ts,rank,origin_airport_id,num_flights,severe_delays,dep_delay_mean,dep_delay_max,delayed_flights
2025-01-01 18:00:00,1,11298,268,36,15.02,775.00,"[(OO, 15401, 775.00),(AA, 13256, 505.00),(OH, 12217, 293.00),(AA, 10868, 228.00),(AA, 15016, 129.00),(OO, 11973, 119.00),(AA, 13342, 112.00),(AA, 10397, 110.00),(AA, 10423, 108.00),(OO, 10372, 100.00),(AA, 10561, 92.00),(AA, 11775, 84.00),(OO, 14314, 83.00),(AA, 14100, 81.00),(AA, 10693, 75.00),(AA, 13342, 68.00),(AA, 11292, 65.00),(AA, 11423, 64.00),(MQ, 13290, 64.00),(F9, 12889, 64.00)]"
2025-01-01 18:00:00,2,11292,181,26,13.50,735.00,"[(OO, 10372, 735.00),(UA, 10800, 199.00),(WN, 10599, 103.00),(UA, 10140, 90.00),(OO, 13433, 88.00),(WN, 14831, 86.00),(OO, 11921, 80.00),(OO, 11109, 78.00),(UA, 11603, 68.00),(AA, 11298, 67.00),(WN, 12892, 66.00),(UA, 10849, 64.00),(OO, 14674, 53.00),(F9, 14771, 53.00),(OO, 14869, 52.00),(OO, 11109, 51.00),(WN, 15016, 44.00),(UA, 11109, 42.00),(WN, 13930, 42.00),(UA, 14683, 40.00)]"
2025-01-01 18:00:00,3,13930,181,19,12.77,661.00,"[(OO, 11076, 661.00),(OO, 14696, 251.00),(OO, 13282, 172.00),(OO, 11433, 162.00),(OO, 11146, 138.00),(OO, 11721, 114.00),(OO, 15370, 102.00),(UA, 12892, 99.00),(UA, 14570, 80.00),(AA, 14771, 75.00),(AS, 14771, 60.00),(UA, 10849, 54.00),(OO, 12559, 50.00),(OO, 14574, 46.00),(OO, 10408, 40.00),(UA, 15380, 36.00),(MQ, 11067, 35.00),(OO, 14108, 32.00),(UA, 13230, 31.00)]"
2025-01-01 18:00:00,4,13204,83,17,17.83,267.00,"[(F9, 14107, 267.00),(B6, 10529, 199.00),(B6, 14843, 160.00),(B6, 14843, 89.00),(B6, 10721, 78.00),(B6, 11618, 69.00),(B6, 15096, 61.00),(DL, 13487, 57.00),(B6, 12953, 53.00),(B6, 10732, 51.00),(WN, 10693, 44.00),(B6, 10721, 40.00),(B6, 14843, 36.00),(WN, 10821, 33.00),(B6, 12478, 31.00),(WN, 12339, 31.00),(F9, 14100, 31.00)]"
2025-01-01 18:00:00,5,11618,77,16,9.87,152.00,"[(B6, 13204, 152.00),(UA, 14107, 86.00),(UA, 11697, 69.00),(UA, 14986, 66.00),(UA, 10792, 51.00),(UA, 14492, 49.00),(NK, 13495, 48.00),(NK, 10397, 46.00),(YX, 11986, 39.00),(NK, 10721, 39.00),(UA, 12892, 38.00),(UA, 13930, 36.00),(YX, 12339, 34.00),(NK, 13303, 32.00),(UA, 10785, 31.00),(UA, 11433, 31.00)]"
2025-01-01 18:00:00,6,11057,197,15,7.53,422.00,"[(AA, 11042, 422.00),(AA, 10994, 184.00),(AA, 14843, 132.00),(AA, 10693, 96.00),(AA, 11423, 69.00),(AA, 10397, 68.00),(AA, 11292, 65.00),(AA, 11278, 63.00),(OH, 12197, 60.00),(OH, 15412, 53.00),(AA, 13204, 40.00),(AA, 11278, 38.00),(AA, 14492, 35.00),(NK, 12953, 34.00),(AA, 14908, 33.00)]"
2025-01-01 18:00:00,7,14771,107,13,6.72,201.00,"[(UA, 12266, 201.00),(B6, 12478, 124.00),(UA, 13930, 109.00),(OO, 14570, 107.00),(OO, 14487, 103.00),(UA, 11042, 61.00),(UA, 13930, 55.00),(AS, 12478, 48.00),(UA, 11292, 40.00),(AA, 13303, 38.00),(OO, 10713, 36.00),(UA, 10821, 33.00),(WN, 14679, 33.00)]"
2025-01-01 18:00:00,8,12266,102,13,15.95,669.00,"[(UA, 12892, 669.00),(F9, 10397, 134.00),(UA, 12264, 102.00),(NK, 11697, 96.00),(OO, 10372, 96.00),(UA, 10140, 69.00),(UA, 14524, 64.00),(F9, 14107, 53.00),(UA, 13930, 50.00),(F9, 13232, 48.00),(NK, 13303, 38.00),(UA, 11618, 35.00),(UA, 10397, 31.00)]"
2025-01-01 18:00:00,9,11697,61,13,21.05,222.00,"[(NK, 13342, 222.00),(F9, 12391, 101.00),(B6, 12478, 92.00),(B6, 10529, 88.00),(B6, 14524, 60.00),(UA, 14771, 56.00),(AA, 11298, 56.00),(B6, 14492, 50.00),(B6, 12197, 50.00),(B6, 12478, 44.00),(B6, 14107, 44.00),(UA, 11618, 42.00),(AA, 11278, 40.00)]"
2025-01-01 18:00:00,10,13303,118,11,7.16,199.00,"[(MQ, 11996, 199.00),(NK, 14100, 152.00),(AA, 14893, 66.00),(AA, 14730, 65.00),(B6, 12478, 50.00),(MQ, 14193, 48.00),(NK, 12889, 47.00),(DL, 14869, 45.00),(AA, 15304, 43.00),(NK, 11433, 42.00),(MQ, 15249, 41.00)]"
